vendredi 21 février 2020	10:02:35	Sampling Period : 50  ms		Free control
57	7.000000E+0	-33.097998E+0	-33.097998E+0	76.074953E+0
58	7.000000E+0	-33.097998E+0	-33.097998E+0	76.074953E+0
59	7.000000E+0	-33.097998E+0	-33.097998E+0	76.074953E+0
60	7.000000E+0	-33.091905E+0	-33.091905E+0	75.530075E+0
61	7.000000E+0	-33.091905E+0	-33.091905E+0	75.530075E+0
62	7.000000E+0	-33.091905E+0	-33.091905E+0	75.530075E+0
63	7.000000E+0	-33.091905E+0	-33.091905E+0	75.530075E+0
64	7.000000E+0	-33.091905E+0	-33.091905E+0	75.530075E+0
65	7.000000E+0	-33.087833E+0	-33.087833E+0	74.202809E+0
66	7.000000E+0	-33.087833E+0	-33.087833E+0	74.202809E+0
67	7.000000E+0	-33.087833E+0	-33.087833E+0	74.202809E+0
68	7.000000E+0	-33.087833E+0	-33.087833E+0	74.202809E+0
69	7.000000E+0	-33.076926E+0	-33.076926E+0	72.519332E+0
70	7.000000E+0	-33.076926E+0	-33.076926E+0	72.519332E+0
71	7.000000E+0	-33.076926E+0	-33.076926E+0	72.519332E+0
72	7.000000E+0	-33.076926E+0	-33.076926E+0	72.519332E+0
73	7.000000E+0	-33.062535E+0	-33.062535E+0	71.290476E+0
74	7.000000E+0	-33.062535E+0	-33.062535E+0	71.290476E+0
75	7.000000E+0	-33.062535E+0	-33.062535E+0	71.290476E+0
76	7.000000E+0	-33.084831E+0	-33.084831E+0	70.031136E+0
77	7.000000E+0	-33.084831E+0	-33.084831E+0	70.031136E+0
78	7.000000E+0	-33.084831E+0	-33.084831E+0	70.031136E+0
79	7.000000E+0	-33.084831E+0	-33.084831E+0	70.031136E+0
80	7.000000E+0	-33.084831E+0	-33.084831E+0	70.031136E+0
81	7.000000E+0	-33.088717E+0	-33.088717E+0	68.251208E+0
82	7.000000E+0	-33.088717E+0	-33.088717E+0	68.251208E+0
83	7.000000E+0	-33.088717E+0	-33.088717E+0	68.251208E+0
84	7.000000E+0	-33.088717E+0	-33.088717E+0	68.251208E+0
85	37.000000E+0	-33.006728E+0	-33.006728E+0	67.543340E+0
86	37.000000E+0	-33.006728E+0	-33.006728E+0	67.543340E+0
87	37.000000E+0	-33.006728E+0	-33.006728E+0	67.543340E+0
88	37.000000E+0	-32.939677E+0	-32.939677E+0	69.318681E+0
89	37.000000E+0	-32.939677E+0	-32.939677E+0	69.318681E+0
90	37.000000E+0	-32.939677E+0	-32.939677E+0	69.318681E+0
91	37.000000E+0	-32.939677E+0	-32.939677E+0	69.318681E+0
92	37.000000E+0	-32.939677E+0	-32.939677E+0	69.318681E+0
93	37.000000E+0	-30.380154E+0	-30.380154E+0	71.686880E+0
94	37.000000E+0	-30.380154E+0	-30.380154E+0	71.686880E+0
95	37.000000E+0	-30.380154E+0	-30.380154E+0	71.686880E+0
96	37.000000E+0	-30.385744E+0	-30.385744E+0	76.229216E+0
97	37.000000E+0	-30.385744E+0	-30.385744E+0	76.229216E+0
98	37.000000E+0	-30.385744E+0	-30.385744E+0	76.229216E+0
99	37.000000E+0	-30.385744E+0	-30.385744E+0	76.229216E+0
100	37.000000E+0	-30.385744E+0	-30.385744E+0	76.229216E+0
101	37.000000E+0	-30.429899E+0	-30.429899E+0	80.513605E+0
102	37.000000E+0	-30.429899E+0	-30.429899E+0	80.513605E+0
103	37.000000E+0	-30.429899E+0	-30.429899E+0	80.513605E+0
104	37.000000E+0	-30.429899E+0	-30.429899E+0	80.513605E+0
105	37.000000E+0	-30.417875E+0	-30.417875E+0	80.416974E+0
106	37.000000E+0	-30.417875E+0	-30.417875E+0	80.416974E+0
107	37.000000E+0	-30.417875E+0	-30.417875E+0	80.416974E+0
108	37.000000E+0	-30.417875E+0	-30.417875E+0	80.416974E+0
109	37.000000E+0	-30.400480E+0	-30.400480E+0	81.680355E+0
110	37.000000E+0	-30.400480E+0	-30.400480E+0	81.680355E+0
111	37.000000E+0	-30.400480E+0	-30.400480E+0	81.680355E+0
112	37.000000E+0	-30.400480E+0	-30.400480E+0	81.680355E+0
113	37.000000E+0	-30.422659E+0	-30.422659E+0	80.590909E+0
114	37.000000E+0	-30.422659E+0	-30.422659E+0	80.590909E+0
115	37.000000E+0	-30.422659E+0	-30.422659E+0	80.590909E+0
116	37.000000E+0	-30.422659E+0	-30.422659E+0	80.590909E+0
117	37.000000E+0	-30.436964E+0	-30.436964E+0	78.262147E+0
118	37.000000E+0	-30.436964E+0	-30.436964E+0	78.262147E+0
119	37.000000E+0	-30.436964E+0	-30.436964E+0	78.262147E+0
120	37.000000E+0	-30.436964E+0	-30.436964E+0	78.262147E+0
121	37.000000E+0	-30.447870E+0	-30.447870E+0	77.941873E+0
122	37.000000E+0	-30.447870E+0	-30.447870E+0	77.941873E+0
123	37.000000E+0	-30.447870E+0	-30.447870E+0	77.941873E+0
124	37.000000E+0	-30.447870E+0	-30.447870E+0	77.941873E+0
125	37.000000E+0	-30.449391E+0	-30.449391E+0	77.049356E+0
126	37.000000E+0	-30.449391E+0	-30.449391E+0	77.049356E+0
127	37.000000E+0	-30.449391E+0	-30.449391E+0	77.049356E+0
128	37.000000E+0	-30.449391E+0	-30.449391E+0	77.049356E+0
129	37.000000E+0	-30.447867E+0	-30.447867E+0	74.997984E+0
130	37.000000E+0	-30.447867E+0	-30.447867E+0	74.997984E+0
131	37.000000E+0	-30.447867E+0	-30.447867E+0	74.997984E+0
132	37.000000E+0	-30.447867E+0	-30.447867E+0	74.997984E+0
133	37.000000E+0	-30.447222E+0	-30.447222E+0	73.866940E+0
134	37.000000E+0	-30.447222E+0	-30.447222E+0	73.866940E+0
135	37.000000E+0	-30.447222E+0	-30.447222E+0	73.866940E+0
136	37.000000E+0	-30.447222E+0	-30.447222E+0	73.866940E+0
137	37.000000E+0	-30.428412E+0	-30.428412E+0	72.556641E+0
138	37.000000E+0	-30.428412E+0	-30.428412E+0	72.556641E+0
139	37.000000E+0	-30.428412E+0	-30.428412E+0	72.556641E+0
140	37.000000E+0	-30.428412E+0	-30.428412E+0	72.556641E+0
141	37.000000E+0	-30.459866E+0	-30.459866E+0	71.726809E+0
142	37.000000E+0	-30.459866E+0	-30.459866E+0	71.726809E+0
143	37.000000E+0	-30.459866E+0	-30.459866E+0	71.726809E+0
144	37.000000E+0	-30.459866E+0	-30.459866E+0	71.726809E+0
145	37.000000E+0	-30.445629E+0	-30.445629E+0	70.684904E+0
146	37.000000E+0	-30.445629E+0	-30.445629E+0	70.684904E+0
147	37.000000E+0	-30.445629E+0	-30.445629E+0	70.684904E+0
148	37.000000E+0	-30.444950E+0	-30.444950E+0	69.808274E+0
149	37.000000E+0	-30.444950E+0	-30.444950E+0	69.808274E+0
150	37.000000E+0	-30.444950E+0	-30.444950E+0	69.808274E+0
