mardi 18 février 2020	15:45:41	Sampling Period : 50  ms		Free control
60	20.000000E+0	15.514732E+0	15.514732E+0	79.761376E+0
61	20.000000E+0	15.514732E+0	15.514732E+0	79.761376E+0
62	20.000000E+0	15.514732E+0	15.514732E+0	79.761376E+0
63	20.000000E+0	15.514732E+0	15.514732E+0	79.761376E+0
64	20.000000E+0	13.079879E+0	13.079879E+0	80.199349E+0
65	20.000000E+0	13.079879E+0	13.079879E+0	80.199349E+0
66	20.000000E+0	13.079879E+0	13.079879E+0	80.199349E+0
67	20.000000E+0	13.079879E+0	13.079879E+0	80.199349E+0
68	20.000000E+0	10.573013E+0	10.573013E+0	79.086549E+0
69	20.000000E+0	10.573013E+0	10.573013E+0	79.086549E+0
70	20.000000E+0	10.573013E+0	10.573013E+0	79.086549E+0
71	20.000000E+0	10.573013E+0	10.573013E+0	79.086549E+0
72	20.000000E+0	8.225642E+0	8.225642E+0	78.572864E+0
73	20.000000E+0	8.225642E+0	8.225642E+0	78.572864E+0
74	20.000000E+0	8.225642E+0	8.225642E+0	78.572864E+0
75	20.000000E+0	8.225642E+0	8.225642E+0	78.572864E+0
76	20.000000E+0	5.989846E+0	5.989846E+0	76.809272E+0
77	20.000000E+0	5.989846E+0	5.989846E+0	76.809272E+0
78	20.000000E+0	5.989846E+0	5.989846E+0	76.809272E+0
79	20.000000E+0	5.989846E+0	5.989846E+0	76.809272E+0
80	20.000000E+0	3.559754E+0	3.559754E+0	78.456717E+0
81	20.000000E+0	3.559754E+0	3.559754E+0	78.456717E+0
82	20.000000E+0	3.559754E+0	3.559754E+0	78.456717E+0
83	20.000000E+0	3.559754E+0	3.559754E+0	78.456717E+0
84	20.000000E+0	1.194175E+0	1.194175E+0	79.260336E+0
85	20.000000E+0	1.194175E+0	1.194175E+0	79.260336E+0
86	20.000000E+0	1.194175E+0	1.194175E+0	79.260336E+0
87	20.000000E+0	1.194175E+0	1.194175E+0	79.260336E+0
88	20.000000E+0	-1.071382E+0	-1.071382E+0	82.586801E+0
89	20.000000E+0	-1.071382E+0	-1.071382E+0	82.586801E+0
90	20.000000E+0	-1.071382E+0	-1.071382E+0	82.586801E+0
91	20.000000E+0	-1.071382E+0	-1.071382E+0	82.586801E+0
92	20.000000E+0	-3.256659E+0	-3.256659E+0	80.617446E+0
93	20.000000E+0	-3.256659E+0	-3.256659E+0	80.617446E+0
94	20.000000E+0	-3.256659E+0	-3.256659E+0	80.617446E+0
95	20.000000E+0	-3.256659E+0	-3.256659E+0	80.617446E+0
96	20.000000E+0	-5.645124E+0	-5.645124E+0	80.151506E+0
97	20.000000E+0	-5.645124E+0	-5.645124E+0	80.151506E+0
98	20.000000E+0	-5.645124E+0	-5.645124E+0	80.151506E+0
99	20.000000E+0	-5.645124E+0	-5.645124E+0	80.151506E+0
100	20.000000E+0	-8.095462E+0	-8.095462E+0	83.389579E+0
101	20.000000E+0	-8.095462E+0	-8.095462E+0	83.389579E+0
102	20.000000E+0	-8.095462E+0	-8.095462E+0	83.389579E+0
103	20.000000E+0	-8.095462E+0	-8.095462E+0	83.389579E+0
104	20.000000E+0	-10.353809E+0	-10.353809E+0	82.974693E+0
105	20.000000E+0	-10.353809E+0	-10.353809E+0	82.974693E+0
106	20.000000E+0	-10.353809E+0	-10.353809E+0	82.974693E+0
107	20.000000E+0	-10.353809E+0	-10.353809E+0	82.974693E+0
108	20.000000E+0	-12.613809E+0	-12.613809E+0	86.110197E+0
109	20.000000E+0	-12.613809E+0	-12.613809E+0	86.110197E+0
110	20.000000E+0	-12.613809E+0	-12.613809E+0	86.110197E+0
111	20.000000E+0	-12.613809E+0	-12.613809E+0	86.110197E+0
112	20.000000E+0	-15.080637E+0	-15.080637E+0	83.463467E+0
113	20.000000E+0	-15.080637E+0	-15.080637E+0	83.463467E+0
114	20.000000E+0	-15.080637E+0	-15.080637E+0	83.463467E+0
115	20.000000E+0	-15.080637E+0	-15.080637E+0	83.463467E+0
116	20.000000E+0	-17.571952E+0	-17.571952E+0	81.330639E+0
117	20.000000E+0	-17.571952E+0	-17.571952E+0	81.330639E+0
118	20.000000E+0	-17.571952E+0	-17.571952E+0	81.330639E+0
119	20.000000E+0	-17.571952E+0	-17.571952E+0	81.330639E+0
120	20.000000E+0	-19.943503E+0	-19.943503E+0	79.146583E+0
121	20.000000E+0	-19.943503E+0	-19.943503E+0	79.146583E+0
122	20.000000E+0	-19.943503E+0	-19.943503E+0	79.146583E+0
123	20.000000E+0	-19.943503E+0	-19.943503E+0	79.146583E+0
124	20.000000E+0	-22.331605E+0	-22.331605E+0	78.692648E+0
125	20.000000E+0	-22.331605E+0	-22.331605E+0	78.692648E+0
126	20.000000E+0	-22.331605E+0	-22.331605E+0	78.692648E+0
127	20.000000E+0	-22.331605E+0	-22.331605E+0	78.692648E+0
128	20.000000E+0	-24.902943E+0	-24.902943E+0	77.619258E+0
129	20.000000E+0	-24.902943E+0	-24.902943E+0	77.619258E+0
130	20.000000E+0	-24.902943E+0	-24.902943E+0	77.619258E+0
131	20.000000E+0	-24.902943E+0	-24.902943E+0	77.619258E+0
132	20.000000E+0	-27.292097E+0	-27.292097E+0	77.869614E+0
133	20.000000E+0	-27.292097E+0	-27.292097E+0	77.869614E+0
134	20.000000E+0	-27.292097E+0	-27.292097E+0	77.869614E+0
135	20.000000E+0	-27.292097E+0	-27.292097E+0	77.869614E+0
136	20.000000E+0	-29.581752E+0	-29.581752E+0	76.722591E+0
137	20.000000E+0	-29.581752E+0	-29.581752E+0	76.722591E+0
138	20.000000E+0	-29.581752E+0	-29.581752E+0	76.722591E+0
139	20.000000E+0	-29.581752E+0	-29.581752E+0	76.722591E+0
140	20.000000E+0	-31.860206E+0	-31.860206E+0	79.475541E+0
141	20.000000E+0	-31.860206E+0	-31.860206E+0	79.475541E+0
142	20.000000E+0	-31.860206E+0	-31.860206E+0	79.475541E+0
143	20.000000E+0	-31.860206E+0	-31.860206E+0	79.475541E+0
144	20.000000E+0	-34.374853E+0	-34.374853E+0	76.184915E+0
145	20.000000E+0	-34.374853E+0	-34.374853E+0	76.184915E+0
146	20.000000E+0	-34.374853E+0	-34.374853E+0	76.184915E+0
147	20.000000E+0	-34.374853E+0	-34.374853E+0	76.184915E+0
148	20.000000E+0	-34.041793E+0	-34.041793E+0	80.799051E+0
149	20.000000E+0	-34.041793E+0	-34.041793E+0	80.799051E+0
150	20.000000E+0	-34.041793E+0	-34.041793E+0	80.799051E+0
151	20.000000E+0	-34.041793E+0	-34.041793E+0	80.799051E+0
152	20.000000E+0	-34.237809E+0	-34.237809E+0	79.810878E+0
153	20.000000E+0	-34.237809E+0	-34.237809E+0	79.810878E+0
154	20.000000E+0	-34.237809E+0	-34.237809E+0	79.810878E+0
155	20.000000E+0	-34.237809E+0	-34.237809E+0	79.810878E+0
156	20.000000E+0	-34.319567E+0	-34.319567E+0	77.685161E+0
157	20.000000E+0	-34.319567E+0	-34.319567E+0	77.685161E+0
158	20.000000E+0	-34.319567E+0	-34.319567E+0	77.685161E+0
159	20.000000E+0	-34.319567E+0	-34.319567E+0	77.685161E+0
160	20.000000E+0	-34.339430E+0	-34.339430E+0	73.115637E+0
161	20.000000E+0	-34.339430E+0	-34.339430E+0	73.115637E+0
162	20.000000E+0	-34.339430E+0	-34.339430E+0	73.115637E+0
163	20.000000E+0	-34.339430E+0	-34.339430E+0	73.115637E+0
164	20.000000E+0	-34.390133E+0	-34.390133E+0	72.152338E+0
165	20.000000E+0	-34.390133E+0	-34.390133E+0	72.152338E+0
166	20.000000E+0	-34.390133E+0	-34.390133E+0	72.152338E+0
167	20.000000E+0	-34.390133E+0	-34.390133E+0	72.152338E+0
168	20.000000E+0	-34.332324E+0	-34.332324E+0	71.833333E+0
169	20.000000E+0	-34.332324E+0	-34.332324E+0	71.833333E+0
170	20.000000E+0	-34.332324E+0	-34.332324E+0	71.833333E+0
171	20.000000E+0	-34.332324E+0	-34.332324E+0	71.833333E+0
172	20.000000E+0	-34.365008E+0	-34.365008E+0	73.623762E+0
173	20.000000E+0	-34.365008E+0	-34.365008E+0	73.623762E+0
174	20.000000E+0	-34.365008E+0	-34.365008E+0	73.623762E+0
175	20.000000E+0	-34.365008E+0	-34.365008E+0	73.623762E+0
176	20.000000E+0	-34.413820E+0	-34.413820E+0	82.645098E+0
177	20.000000E+0	-34.413820E+0	-34.413820E+0	82.645098E+0
178	20.000000E+0	-34.413820E+0	-34.413820E+0	82.645098E+0
179	20.000000E+0	-34.413820E+0	-34.413820E+0	82.645098E+0
180	20.000000E+0	-34.970125E+0	-34.970125E+0	83.657277E+0
181	20.000000E+0	-34.970125E+0	-34.970125E+0	83.657277E+0
182	20.000000E+0	-34.970125E+0	-34.970125E+0	83.657277E+0
183	20.000000E+0	-34.970125E+0	-34.970125E+0	83.657277E+0
184	20.000000E+0	-35.936293E+0	-35.936293E+0	86.837891E+0
185	20.000000E+0	-35.936293E+0	-35.936293E+0	86.837891E+0
