mardi 25 février 2020	12:12:39	Sampling Period : 50  ms		OL alpha1
60	20.000000E+0	25.097062E+0	25.097062E+0	82.349267E+0
61	20.000000E+0	22.768884E+0	22.768884E+0	84.089441E+0
62	20.000000E+0	22.768884E+0	22.768884E+0	84.089441E+0
63	20.000000E+0	22.768884E+0	22.768884E+0	84.089441E+0
64	7.000000E+0	22.768884E+0	22.768884E+0	84.089441E+0
65	7.000000E+0	20.192985E+0	20.192985E+0	81.793173E+0
66	7.000000E+0	20.192985E+0	20.192985E+0	81.793173E+0
67	7.000000E+0	20.192985E+0	20.192985E+0	81.793173E+0
68	7.000000E+0	20.192985E+0	20.192985E+0	81.793173E+0
69	7.000000E+0	17.788229E+0	17.788229E+0	82.033429E+0
70	7.000000E+0	17.788229E+0	17.788229E+0	82.033429E+0
71	7.000000E+0	17.788229E+0	17.788229E+0	82.033429E+0
72	7.000000E+0	17.788229E+0	17.788229E+0	82.033429E+0
73	7.000000E+0	16.418183E+0	16.418183E+0	80.990625E+0
74	7.000000E+0	16.418183E+0	16.418183E+0	80.990625E+0
75	7.000000E+0	16.418183E+0	16.418183E+0	80.990625E+0
76	7.000000E+0	16.418183E+0	16.418183E+0	80.990625E+0
77	7.000000E+0	15.723907E+0	15.723907E+0	80.997692E+0
78	7.000000E+0	15.723907E+0	15.723907E+0	80.997692E+0
79	7.000000E+0	15.723907E+0	15.723907E+0	80.997692E+0
80	7.000000E+0	15.723907E+0	15.723907E+0	80.997692E+0
81	7.000000E+0	15.423497E+0	15.423497E+0	81.252374E+0
82	7.000000E+0	15.423497E+0	15.423497E+0	81.252374E+0
83	7.000000E+0	15.423497E+0	15.423497E+0	81.252374E+0
84	7.000000E+0	15.423497E+0	15.423497E+0	81.252374E+0
85	7.000000E+0	15.775825E+0	15.775825E+0	86.581991E+0
86	7.000000E+0	15.775825E+0	15.775825E+0	86.581991E+0
87	7.000000E+0	15.775825E+0	15.775825E+0	86.581991E+0
88	7.000000E+0	15.775825E+0	15.775825E+0	86.581991E+0
89	7.000000E+0	16.303324E+0	16.303324E+0	87.037079E+0
90	7.000000E+0	16.303324E+0	16.303324E+0	87.037079E+0
91	7.000000E+0	16.303324E+0	16.303324E+0	87.037079E+0
92	7.000000E+0	16.303324E+0	16.303324E+0	87.037079E+0
93	7.000000E+0	16.945433E+0	16.945433E+0	84.752938E+0
94	7.000000E+0	16.945433E+0	16.945433E+0	84.752938E+0
95	7.000000E+0	16.945433E+0	16.945433E+0	84.752938E+0
96	7.000000E+0	16.945433E+0	16.945433E+0	84.752938E+0
97	7.000000E+0	17.709331E+0	17.709331E+0	83.377841E+0
98	7.000000E+0	17.709331E+0	17.709331E+0	83.377841E+0
99	7.000000E+0	17.709331E+0	17.709331E+0	83.377841E+0
100	7.000000E+0	17.709331E+0	17.709331E+0	83.377841E+0
101	7.000000E+0	18.502775E+0	18.502775E+0	82.285916E+0
102	7.000000E+0	18.502775E+0	18.502775E+0	82.285916E+0
103	7.000000E+0	18.502775E+0	18.502775E+0	82.285916E+0
104	7.000000E+0	18.502775E+0	18.502775E+0	82.285916E+0
105	7.000000E+0	19.328161E+0	19.328161E+0	84.196509E+0
106	7.000000E+0	19.328161E+0	19.328161E+0	84.196509E+0
107	7.000000E+0	19.328161E+0	19.328161E+0	84.196509E+0
108	7.000000E+0	19.328161E+0	19.328161E+0	84.196509E+0
109	7.000000E+0	19.981594E+0	19.981594E+0	84.269746E+0
110	7.000000E+0	19.981594E+0	19.981594E+0	84.269746E+0
111	7.000000E+0	19.981594E+0	19.981594E+0	84.269746E+0
112	7.000000E+0	19.981594E+0	19.981594E+0	84.269746E+0
113	7.000000E+0	20.549354E+0	20.549354E+0	87.062240E+0
114	7.000000E+0	20.549354E+0	20.549354E+0	87.062240E+0
115	7.000000E+0	20.549354E+0	20.549354E+0	87.062240E+0
116	7.000000E+0	20.549354E+0	20.549354E+0	87.062240E+0
117	7.000000E+0	20.948828E+0	20.948828E+0	83.125377E+0
118	7.000000E+0	20.948828E+0	20.948828E+0	83.125377E+0
119	7.000000E+0	20.948828E+0	20.948828E+0	83.125377E+0
120	7.000000E+0	20.948828E+0	20.948828E+0	83.125377E+0
121	7.000000E+0	20.947384E+0	20.947384E+0	83.361950E+0
122	7.000000E+0	20.947384E+0	20.947384E+0	83.361950E+0
123	7.000000E+0	20.947384E+0	20.947384E+0	83.361950E+0
124	7.000000E+0	20.947384E+0	20.947384E+0	83.361950E+0
125	7.000000E+0	20.609900E+0	20.609900E+0	87.618462E+0
126	7.000000E+0	20.609900E+0	20.609900E+0	87.618462E+0
127	7.000000E+0	20.609900E+0	20.609900E+0	87.618462E+0
128	7.000000E+0	20.609900E+0	20.609900E+0	87.618462E+0
129	7.000000E+0	20.286565E+0	20.286565E+0	86.539796E+0
130	7.000000E+0	20.286565E+0	20.286565E+0	86.539796E+0
131	7.000000E+0	20.286565E+0	20.286565E+0	86.539796E+0
132	7.000000E+0	20.286565E+0	20.286565E+0	86.539796E+0
133	7.000000E+0	20.109166E+0	20.109166E+0	83.282909E+0
134	7.000000E+0	20.109166E+0	20.109166E+0	83.282909E+0
135	7.000000E+0	20.109166E+0	20.109166E+0	83.282909E+0
136	7.000000E+0	20.109166E+0	20.109166E+0	83.282909E+0
137	7.000000E+0	20.055633E+0	20.055633E+0	83.423337E+0
138	7.000000E+0	20.055633E+0	20.055633E+0	83.423337E+0
139	7.000000E+0	20.055633E+0	20.055633E+0	83.423337E+0
140	7.000000E+0	20.055633E+0	20.055633E+0	83.423337E+0
141	7.000000E+0	20.103474E+0	20.103474E+0	85.672879E+0
142	7.000000E+0	20.103474E+0	20.103474E+0	85.672879E+0
143	7.000000E+0	20.103474E+0	20.103474E+0	85.672879E+0
144	7.000000E+0	20.103474E+0	20.103474E+0	85.672879E+0
145	7.000000E+0	20.096453E+0	20.096453E+0	86.738359E+0
146	7.000000E+0	20.096453E+0	20.096453E+0	86.738359E+0
147	7.000000E+0	20.096453E+0	20.096453E+0	86.738359E+0
148	7.000000E+0	20.096453E+0	20.096453E+0	86.738359E+0
149	7.000000E+0	20.054987E+0	20.054987E+0	84.405225E+0
150	7.000000E+0	20.054987E+0	20.054987E+0	84.405225E+0
151	7.000000E+0	20.054987E+0	20.054987E+0	84.405225E+0
152	7.000000E+0	20.054987E+0	20.054987E+0	84.405225E+0
153	7.000000E+0	20.080822E+0	20.080822E+0	87.239064E+0
154	7.000000E+0	20.080822E+0	20.080822E+0	87.239064E+0
155	7.000000E+0	20.080822E+0	20.080822E+0	87.239064E+0
156	7.000000E+0	20.080822E+0	20.080822E+0	87.239064E+0
157	7.000000E+0	20.082108E+0	20.082108E+0	86.352410E+0
158	7.000000E+0	20.082108E+0	20.082108E+0	86.352410E+0
159	7.000000E+0	20.082108E+0	20.082108E+0	86.352410E+0
160	7.000000E+0	20.082108E+0	20.082108E+0	86.352410E+0
161	7.000000E+0	20.082108E+0	20.082108E+0	86.352410E+0
162	7.000000E+0	20.082876E+0	20.082876E+0	85.840826E+0
163	7.000000E+0	20.082876E+0	20.082876E+0	85.840826E+0
164	7.000000E+0	20.082876E+0	20.082876E+0	85.840826E+0
165	7.000000E+0	20.085907E+0	20.085907E+0	85.697949E+0
166	7.000000E+0	20.085907E+0	20.085907E+0	85.697949E+0
167	7.000000E+0	20.085907E+0	20.085907E+0	85.697949E+0
168	7.000000E+0	20.085907E+0	20.085907E+0	85.697949E+0
169	7.000000E+0	20.085907E+0	20.085907E+0	85.697949E+0
170	7.000000E+0	20.074587E+0	20.074587E+0	85.232486E+0
171	7.000000E+0	20.074587E+0	20.074587E+0	85.232486E+0
172	7.000000E+0	20.074587E+0	20.074587E+0	85.232486E+0
173	7.000000E+0	20.071313E+0	20.071313E+0	86.132206E+0
174	7.000000E+0	20.071313E+0	20.071313E+0	86.132206E+0
175	7.000000E+0	20.071313E+0	20.071313E+0	86.132206E+0
176	7.000000E+0	20.071313E+0	20.071313E+0	86.132206E+0
177	7.000000E+0	20.071313E+0	20.071313E+0	86.132206E+0
178	7.000000E+0	20.060370E+0	20.060370E+0	86.719170E+0
179	7.000000E+0	20.060370E+0	20.060370E+0	86.719170E+0
180	7.000000E+0	20.060370E+0	20.060370E+0	86.719170E+0
181	7.000000E+0	20.074731E+0	20.074731E+0	86.946794E+0
182	7.000000E+0	20.074731E+0	20.074731E+0	86.946794E+0
183	7.000000E+0	20.074731E+0	20.074731E+0	86.946794E+0
184	7.000000E+0	20.074731E+0	20.074731E+0	86.946794E+0
185	7.000000E+0	20.074731E+0	20.074731E+0	86.946794E+0
186	7.000000E+0	20.070664E+0	20.070664E+0	86.893255E+0
187	7.000000E+0	20.070664E+0	20.070664E+0	86.893255E+0
188	7.000000E+0	20.070664E+0	20.070664E+0	86.893255E+0
189	7.000000E+0	20.070362E+0	20.070362E+0	87.135322E+0
190	7.000000E+0	20.070362E+0	20.070362E+0	87.135322E+0
191	7.000000E+0	20.070362E+0	20.070362E+0	87.135322E+0
192	7.000000E+0	20.070362E+0	20.070362E+0	87.135322E+0
193	7.000000E+0	20.070362E+0	20.070362E+0	87.135322E+0
194	7.000000E+0	20.071588E+0	20.071588E+0	87.578390E+0
195	7.000000E+0	20.071588E+0	20.071588E+0	87.578390E+0
196	7.000000E+0	20.071588E+0	20.071588E+0	87.578390E+0
197	7.000000E+0	20.075353E+0	20.075353E+0	87.227413E+0
198	7.000000E+0	20.075353E+0	20.075353E+0	87.227413E+0
199	7.000000E+0	20.075353E+0	20.075353E+0	87.227413E+0
200	7.000000E+0	20.075353E+0	20.075353E+0	87.227413E+0
201	7.000000E+0	20.075353E+0	20.075353E+0	87.227413E+0
202	7.000000E+0	20.075632E+0	20.075632E+0	87.170800E+0
203	7.000000E+0	20.075632E+0	20.075632E+0	87.170800E+0
204	7.000000E+0	20.075632E+0	20.075632E+0	87.170800E+0
205	7.000000E+0	20.075632E+0	20.075632E+0	87.170800E+0
206	7.000000E+0	20.076274E+0	20.076274E+0	86.696995E+0
207	7.000000E+0	20.076274E+0	20.076274E+0	86.696995E+0
208	7.000000E+0	20.076274E+0	20.076274E+0	86.696995E+0
209	7.000000E+0	20.076274E+0	20.076274E+0	86.696995E+0
210	7.000000E+0	20.074542E+0	20.074542E+0	86.842629E+0
211	7.000000E+0	20.074542E+0	20.074542E+0	86.842629E+0
212	7.000000E+0	20.074542E+0	20.074542E+0	86.842629E+0
213	7.000000E+0	20.074542E+0	20.074542E+0	86.842629E+0
214	7.000000E+0	20.061503E+0	20.061503E+0	86.824116E+0
215	7.000000E+0	20.061503E+0	20.061503E+0	86.824116E+0
216	7.000000E+0	20.061503E+0	20.061503E+0	86.824116E+0
217	7.000000E+0	20.061503E+0	20.061503E+0	86.824116E+0
218	7.000000E+0	20.074327E+0	20.074327E+0	86.308729E+0
219	7.000000E+0	20.074327E+0	20.074327E+0	86.308729E+0
220	7.000000E+0	20.074327E+0	20.074327E+0	86.308729E+0
221	7.000000E+0	20.074327E+0	20.074327E+0	86.308729E+0
222	7.000000E+0	20.075243E+0	20.075243E+0	86.865659E+0
223	7.000000E+0	20.075243E+0	20.075243E+0	86.865659E+0
224	0.000000E+0	20.075243E+0	20.075243E+0	86.865659E+0
225	0.000000E+0	20.066512E+0	20.066512E+0	87.151277E+0
226	0.000000E+0	20.066512E+0	20.066512E+0	87.151277E+0
227	0.000000E+0	20.066512E+0	20.066512E+0	87.151277E+0
228	0.000000E+0	20.066512E+0	20.066512E+0	87.151277E+0
229	0.000000E+0	20.066512E+0	20.066512E+0	87.151277E+0
230	0.000000E+0	20.064554E+0	20.064554E+0	87.225612E+0
231	0.000000E+0	20.064554E+0	20.064554E+0	87.225612E+0
232	0.000000E+0	20.064554E+0	20.064554E+0	87.225612E+0
233	0.000000E+0	20.064554E+0	20.064554E+0	87.225612E+0
234	0.000000E+0	20.168612E+0	20.168612E+0	88.639301E+0
235	0.000000E+0	20.168612E+0	20.168612E+0	88.639301E+0
236	0.000000E+0	20.168612E+0	20.168612E+0	88.639301E+0
237	0.000000E+0	20.623560E+0	20.623560E+0	85.309735E+0
238	0.000000E+0	20.623560E+0	20.623560E+0	85.309735E+0
239	0.000000E+0	20.623560E+0	20.623560E+0	85.309735E+0
240	0.000000E+0	20.623560E+0	20.623560E+0	85.309735E+0
241	0.000000E+0	20.623560E+0	20.623560E+0	85.309735E+0
242	0.000000E+0	21.468788E+0	21.468788E+0	86.836158E+0
243	0.000000E+0	21.468788E+0	21.468788E+0	86.836158E+0
244	0.000000E+0	21.468788E+0	21.468788E+0	86.836158E+0
245	0.000000E+0	21.468788E+0	21.468788E+0	86.836158E+0
246	0.000000E+0	22.683280E+0	22.683280E+0	86.510100E+0
247	0.000000E+0	22.683280E+0	22.683280E+0	86.510100E+0
248	0.000000E+0	22.683280E+0	22.683280E+0	86.510100E+0
249	0.000000E+0	22.683280E+0	22.683280E+0	86.510100E+0
250	0.000000E+0	23.997561E+0	23.997561E+0	87.397556E+0
251	0.000000E+0	23.997561E+0	23.997561E+0	87.397556E+0
252	0.000000E+0	23.997561E+0	23.997561E+0	87.397556E+0
253	0.000000E+0	25.432088E+0	25.432088E+0	87.622363E+0
254	0.000000E+0	25.432088E+0	25.432088E+0	87.622363E+0
255	0.000000E+0	25.432088E+0	25.432088E+0	87.622363E+0
256	0.000000E+0	25.432088E+0	25.432088E+0	87.622363E+0
257	0.000000E+0	25.432088E+0	25.432088E+0	87.622363E+0
258	0.000000E+0	27.091430E+0	27.091430E+0	86.027538E+0
259	0.000000E+0	27.091430E+0	27.091430E+0	86.027538E+0
260	0.000000E+0	27.091430E+0	27.091430E+0	86.027538E+0
261	0.000000E+0	27.091430E+0	27.091430E+0	86.027538E+0
262	0.000000E+0	28.765005E+0	28.765005E+0	88.310398E+0
263	0.000000E+0	28.765005E+0	28.765005E+0	88.310398E+0
264	0.000000E+0	28.765005E+0	28.765005E+0	88.310398E+0
265	0.000000E+0	28.765005E+0	28.765005E+0	88.310398E+0
266	0.000000E+0	30.350134E+0	30.350134E+0	86.752906E+0
267	0.000000E+0	30.350134E+0	30.350134E+0	86.752906E+0
268	0.000000E+0	30.350134E+0	30.350134E+0	86.752906E+0
269	0.000000E+0	30.350134E+0	30.350134E+0	86.752906E+0
270	0.000000E+0	31.903817E+0	31.903817E+0	87.805967E+0
271	0.000000E+0	31.903817E+0	31.903817E+0	87.805967E+0
272	0.000000E+0	31.903817E+0	31.903817E+0	87.805967E+0
273	0.000000E+0	31.903817E+0	31.903817E+0	87.805967E+0
274	0.000000E+0	33.427496E+0	33.427496E+0	90.735833E+0
275	0.000000E+0	33.427496E+0	33.427496E+0	90.735833E+0
276	0.000000E+0	33.427496E+0	33.427496E+0	90.735833E+0
277	0.000000E+0	33.427496E+0	33.427496E+0	90.735833E+0
278	0.000000E+0	35.079090E+0	35.079090E+0	90.897706E+0
279	0.000000E+0	35.079090E+0	35.079090E+0	90.897706E+0
280	0.000000E+0	35.079090E+0	35.079090E+0	90.897706E+0
281	0.000000E+0	35.079090E+0	35.079090E+0	90.897706E+0
282	0.000000E+0	36.793408E+0	36.793408E+0	89.427014E+0
283	0.000000E+0	36.793408E+0	36.793408E+0	89.427014E+0
284	0.000000E+0	36.793408E+0	36.793408E+0	89.427014E+0
285	0.000000E+0	36.793408E+0	36.793408E+0	89.427014E+0
286	0.000000E+0	36.398767E+0	36.398767E+0	87.787114E+0
287	0.000000E+0	36.398767E+0	36.398767E+0	87.787114E+0
288	0.000000E+0	36.398767E+0	36.398767E+0	87.787114E+0
289	0.000000E+0	36.398767E+0	36.398767E+0	87.787114E+0
290	0.000000E+0	36.122691E+0	36.122691E+0	88.209671E+0
291	0.000000E+0	36.122691E+0	36.122691E+0	88.209671E+0
292	0.000000E+0	36.122691E+0	36.122691E+0	88.209671E+0
293	0.000000E+0	36.122691E+0	36.122691E+0	88.209671E+0
294	0.000000E+0	36.438523E+0	36.438523E+0	87.799624E+0
295	0.000000E+0	36.438523E+0	36.438523E+0	87.799624E+0
296	0.000000E+0	36.438523E+0	36.438523E+0	87.799624E+0
297	0.000000E+0	36.438523E+0	36.438523E+0	87.799624E+0
298	0.000000E+0	37.135949E+0	37.135949E+0	91.050961E+0
299	0.000000E+0	37.135949E+0	37.135949E+0	91.050961E+0
300	0.000000E+0	37.135949E+0	37.135949E+0	91.050961E+0
301	0.000000E+0	37.135949E+0	37.135949E+0	91.050961E+0
302	0.000000E+0	36.957827E+0	36.957827E+0	89.964568E+0
303	0.000000E+0	36.957827E+0	36.957827E+0	89.964568E+0
304	0.000000E+0	36.957827E+0	36.957827E+0	89.964568E+0
305	0.000000E+0	36.957827E+0	36.957827E+0	89.964568E+0
306	0.000000E+0	36.634405E+0	36.634405E+0	88.857022E+0
307	0.000000E+0	36.634405E+0	36.634405E+0	88.857022E+0
308	0.000000E+0	36.634405E+0	36.634405E+0	88.857022E+0
309	0.000000E+0	36.634405E+0	36.634405E+0	88.857022E+0
310	0.000000E+0	36.901323E+0	36.901323E+0	89.707286E+0
311	0.000000E+0	36.901323E+0	36.901323E+0	89.707286E+0
312	0.000000E+0	36.901323E+0	36.901323E+0	89.707286E+0
313	0.000000E+0	36.901323E+0	36.901323E+0	89.707286E+0
314	0.000000E+0	36.841110E+0	36.841110E+0	89.364311E+0
315	0.000000E+0	36.841110E+0	36.841110E+0	89.364311E+0
316	0.000000E+0	36.841110E+0	36.841110E+0	89.364311E+0
317	0.000000E+0	36.841110E+0	36.841110E+0	89.364311E+0
318	0.000000E+0	36.765956E+0	36.765956E+0	88.484292E+0
319	0.000000E+0	36.765956E+0	36.765956E+0	88.484292E+0
320	0.000000E+0	36.765956E+0	36.765956E+0	88.484292E+0
321	0.000000E+0	36.765956E+0	36.765956E+0	88.484292E+0
322	0.000000E+0	36.907682E+0	36.907682E+0	90.587618E+0
323	0.000000E+0	36.907682E+0	36.907682E+0	90.587618E+0
324	0.000000E+0	36.907682E+0	36.907682E+0	90.587618E+0
325	0.000000E+0	36.907682E+0	36.907682E+0	90.587618E+0
326	0.000000E+0	36.791254E+0	36.791254E+0	89.612821E+0
327	0.000000E+0	36.791254E+0	36.791254E+0	89.612821E+0
328	0.000000E+0	36.791254E+0	36.791254E+0	89.612821E+0
329	0.000000E+0	36.791254E+0	36.791254E+0	89.612821E+0
330	0.000000E+0	36.852441E+0	36.852441E+0	89.523718E+0
331	0.000000E+0	36.852441E+0	36.852441E+0	89.523718E+0
332	0.000000E+0	36.852441E+0	36.852441E+0	89.523718E+0
333	0.000000E+0	36.852441E+0	36.852441E+0	89.523718E+0
334	0.000000E+0	36.864252E+0	36.864252E+0	89.447717E+0
335	0.000000E+0	36.864252E+0	36.864252E+0	89.447717E+0
336	0.000000E+0	36.864252E+0	36.864252E+0	89.447717E+0
337	0.000000E+0	36.864252E+0	36.864252E+0	89.447717E+0
338	0.000000E+0	36.853962E+0	36.853962E+0	89.062793E+0
339	0.000000E+0	36.853962E+0	36.853962E+0	89.062793E+0
340	0.000000E+0	36.853962E+0	36.853962E+0	89.062793E+0
341	0.000000E+0	36.853962E+0	36.853962E+0	89.062793E+0
342	0.000000E+0	36.861936E+0	36.861936E+0	88.884755E+0
343	0.000000E+0	36.861936E+0	36.861936E+0	88.884755E+0
344	0.000000E+0	36.861936E+0	36.861936E+0	88.884755E+0
345	0.000000E+0	36.861936E+0	36.861936E+0	88.884755E+0
346	0.000000E+0	36.860430E+0	36.860430E+0	88.837965E+0
347	0.000000E+0	36.860430E+0	36.860430E+0	88.837965E+0
348	0.000000E+0	36.860430E+0	36.860430E+0	88.837965E+0
349	0.000000E+0	36.860430E+0	36.860430E+0	88.837965E+0
350	0.000000E+0	36.860349E+0	36.860349E+0	88.716852E+0
351	0.000000E+0	36.860349E+0	36.860349E+0	88.716852E+0
352	0.000000E+0	36.860349E+0	36.860349E+0	88.716852E+0
353	0.000000E+0	36.860349E+0	36.860349E+0	88.716852E+0
354	0.000000E+0	36.865127E+0	36.865127E+0	89.306407E+0
355	0.000000E+0	36.865127E+0	36.865127E+0	89.306407E+0
356	0.000000E+0	36.865127E+0	36.865127E+0	89.306407E+0
357	0.000000E+0	36.865127E+0	36.865127E+0	89.306407E+0
358	0.000000E+0	36.859797E+0	36.859797E+0	89.571974E+0
359	0.000000E+0	36.859797E+0	36.859797E+0	89.571974E+0
360	0.000000E+0	36.859797E+0	36.859797E+0	89.571974E+0
361	0.000000E+0	36.859797E+0	36.859797E+0	89.571974E+0
362	0.000000E+0	36.851434E+0	36.851434E+0	89.611454E+0
363	0.000000E+0	36.851434E+0	36.851434E+0	89.611454E+0
364	0.000000E+0	36.851434E+0	36.851434E+0	89.611454E+0
365	0.000000E+0	36.851434E+0	36.851434E+0	89.611454E+0
366	0.000000E+0	36.863011E+0	36.863011E+0	89.810799E+0
367	0.000000E+0	36.863011E+0	36.863011E+0	89.810799E+0
368	0.000000E+0	36.863011E+0	36.863011E+0	89.810799E+0
369	0.000000E+0	36.863011E+0	36.863011E+0	89.810799E+0
370	0.000000E+0	36.854175E+0	36.854175E+0	90.129210E+0
371	0.000000E+0	36.854175E+0	36.854175E+0	90.129210E+0
372	0.000000E+0	36.854175E+0	36.854175E+0	90.129210E+0
373	0.000000E+0	36.854175E+0	36.854175E+0	90.129210E+0
374	0.000000E+0	36.850561E+0	36.850561E+0	89.589111E+0
375	0.000000E+0	36.850561E+0	36.850561E+0	89.589111E+0
376	0.000000E+0	36.850561E+0	36.850561E+0	89.589111E+0
377	0.000000E+0	36.850561E+0	36.850561E+0	89.589111E+0
378	0.000000E+0	36.860155E+0	36.860155E+0	89.573454E+0
379	0.000000E+0	36.860155E+0	36.860155E+0	89.573454E+0
380	0.000000E+0	36.860155E+0	36.860155E+0	89.573454E+0
381	0.000000E+0	36.860155E+0	36.860155E+0	89.573454E+0
382	0.000000E+0	36.858622E+0	36.858622E+0	89.220223E+0
383	0.000000E+0	36.858622E+0	36.858622E+0	89.220223E+0
384	0.000000E+0	36.858622E+0	36.858622E+0	89.220223E+0
385	0.000000E+0	36.858622E+0	36.858622E+0	89.220223E+0
386	0.000000E+0	36.871730E+0	36.871730E+0	88.843166E+0
387	0.000000E+0	36.871730E+0	36.871730E+0	88.843166E+0
388	0.000000E+0	36.871730E+0	36.871730E+0	88.843166E+0
389	0.000000E+0	36.871730E+0	36.871730E+0	88.843166E+0
390	0.000000E+0	36.871730E+0	36.871730E+0	88.843166E+0
391	0.000000E+0	36.865838E+0	36.865838E+0	88.750321E+0
392	0.000000E+0	36.865838E+0	36.865838E+0	88.750321E+0
393	0.000000E+0	36.865838E+0	36.865838E+0	88.750321E+0
394	0.000000E+0	36.862572E+0	36.862572E+0	88.924343E+0
395	0.000000E+0	36.862572E+0	36.862572E+0	88.924343E+0
396	0.000000E+0	36.862572E+0	36.862572E+0	88.924343E+0
397	0.000000E+0	36.862572E+0	36.862572E+0	88.924343E+0
398	0.000000E+0	36.852542E+0	36.852542E+0	89.289998E+0
399	0.000000E+0	36.852542E+0	36.852542E+0	89.289998E+0
400	0.000000E+0	36.852542E+0	36.852542E+0	89.289998E+0
