mercredi 25 mars 2020	16:07:32	Sampling Period : 50  ms		OL alpha

t	Alpha [deg]	Position [cm]	X [pixel]	Y [pixel]	  	  	  	  
0	0.000000E+0	8.320160E+0	1.128404E+3	80.803879E+0
1	0.000000E+0	8.320160E+0	1.128404E+3	80.803879E+0
2	0.000000E+0	8.320160E+0	1.128404E+3	80.803879E+0
3	0.000000E+0	8.320160E+0	1.128404E+3	80.803879E+0
4	0.000000E+0	8.325530E+0	1.128532E+3	81.041962E+0
5	0.000000E+0	8.325530E+0	1.128532E+3	81.041962E+0
6	0.000000E+0	8.325530E+0	1.128532E+3	81.041962E+0
7	0.000000E+0	8.325530E+0	1.128532E+3	81.041962E+0
8	0.000000E+0	8.318848E+0	1.128373E+3	81.059984E+0
9	0.000000E+0	8.318848E+0	1.128373E+3	81.059984E+0
10	0.000000E+0	8.318848E+0	1.128373E+3	81.059984E+0
11	0.000000E+0	8.318848E+0	1.128373E+3	81.059984E+0
12	0.000000E+0	8.311706E+0	1.128202E+3	81.562758E+0
13	0.000000E+0	8.311706E+0	1.128202E+3	81.562758E+0
14	0.000000E+0	8.311706E+0	1.128202E+3	81.562758E+0
15	0.000000E+0	8.311706E+0	1.128202E+3	81.562758E+0
16	0.000000E+0	8.311235E+0	1.128191E+3	81.216519E+0
17	0.000000E+0	8.311235E+0	1.128191E+3	81.216519E+0
18	0.000000E+0	8.311235E+0	1.128191E+3	81.216519E+0
19	0.000000E+0	8.311235E+0	1.128191E+3	81.216519E+0
20	0.000000E+0	8.311235E+0	1.128191E+3	81.216519E+0
21	0.000000E+0	8.311235E+0	1.128191E+3	81.216519E+0
22	0.000000E+0	8.311235E+0	1.128191E+3	81.216519E+0
23	7.000000E+0	8.311235E+0	1.128191E+3	81.216519E+0
24	8.098099E+0	8.311235E+0	1.128191E+3	81.216519E+0
25	9.176531E+0	8.310991E+0	1.128185E+3	80.805065E+0
26	10.216106E+0	8.310991E+0	1.128185E+3	80.805065E+0
27	11.198581E+0	8.310991E+0	1.128185E+3	80.805065E+0
28	12.107101E+0	8.310467E+0	1.128173E+3	80.779903E+0
29	12.926608E+0	8.310467E+0	1.128173E+3	80.779903E+0
30	13.644207E+0	8.310467E+0	1.128173E+3	80.779903E+0
31	14.249476E+0	8.310467E+0	1.128173E+3	80.779903E+0
32	14.734718E+0	8.310467E+0	1.128173E+3	80.779903E+0
33	15.095140E+0	8.258663E+0	1.126937E+3	80.844712E+0
34	15.328972E+0	8.258663E+0	1.126937E+3	80.844712E+0
35	15.437493E+0	8.258663E+0	1.126937E+3	80.844712E+0
36	15.425004E+0	8.198086E+0	1.125493E+3	81.024164E+0
37	15.298704E+0	8.198086E+0	1.125493E+3	81.024164E+0
38	15.068513E+0	8.198086E+0	1.125493E+3	81.024164E+0
39	14.746817E+0	8.198086E+0	1.125493E+3	81.024164E+0
40	14.348156E+0	8.198086E+0	1.125493E+3	81.024164E+0
41	13.888858E+0	7.981522E+0	1.120329E+3	81.847124E+0
42	13.386630E+0	7.981522E+0	1.120329E+3	81.847124E+0
43	12.860112E+0	7.981522E+0	1.120329E+3	81.847124E+0
44	12.328413E+0	7.505214E+0	1.108970E+3	81.217192E+0
45	11.810633E+0	7.505214E+0	1.108970E+3	81.217192E+0
46	11.325381E+0	7.505214E+0	1.108970E+3	81.217192E+0
47	10.890315E+0	7.505214E+0	1.108970E+3	81.217192E+0
48	10.521697E+0	7.505214E+0	1.108970E+3	81.217192E+0
49	10.233985E+0	6.753983E+0	1.091057E+3	79.657705E+0
50	10.039475E+0	6.753983E+0	1.091057E+3	79.657705E+0
51	9.947986E+0	6.753983E+0	1.091057E+3	79.657705E+0
52	9.966616E+0	5.870225E+0	1.069982E+3	78.790065E+0
53	10.099563E+0	5.870225E+0	1.069982E+3	78.790065E+0
54	10.348013E+0	5.870225E+0	1.069982E+3	78.790065E+0
55	10.710111E+0	5.870225E+0	1.069982E+3	78.790065E+0
56	11.180995E+0	5.133946E+0	1.052425E+3	78.023298E+0
57	11.752923E+0	5.133946E+0	1.052425E+3	78.023298E+0
58	12.415449E+0	5.133946E+0	1.052425E+3	78.023298E+0
59	13.155685E+0	5.133946E+0	1.052425E+3	78.023298E+0
60	13.958616E+0	5.133946E+0	1.052425E+3	78.023298E+0
61	14.807460E+0	4.302311E+0	1.032594E+3	78.633648E+0
62	15.684091E+0	4.302311E+0	1.032594E+3	78.633648E+0
63	16.569473E+0	4.302311E+0	1.032594E+3	78.633648E+0
64	17.444137E+0	4.302311E+0	1.032594E+3	78.633648E+0
65	18.288651E+0	3.232491E+0	1.007082E+3	79.010867E+0
66	19.084105E+0	3.232491E+0	1.007082E+3	79.010867E+0
67	19.812574E+0	3.232491E+0	1.007082E+3	79.010867E+0
68	20.457556E+0	1.874924E+0	974.709732E+0	80.659396E+0
69	21.004384E+0	1.874924E+0	974.709732E+0	80.659396E+0
70	21.440580E+0	1.874924E+0	974.709732E+0	80.659396E+0
71	21.756170E+0	1.874924E+0	974.709732E+0	80.659396E+0
72	21.943924E+0	1.874924E+0	974.709732E+0	80.659396E+0
73	21.999536E+0	386.063656E-3	939.206133E+0	80.967467E+0
74	21.921729E+0	386.063656E-3	939.206133E+0	80.967467E+0
75	21.712290E+0	386.063656E-3	939.206133E+0	80.967467E+0
76	21.376020E+0	386.063656E-3	939.206133E+0	80.967467E+0
77	20.920621E+0	-1.366922E+0	897.404160E+0	80.347697E+0
78	20.356505E+0	-1.366922E+0	897.404160E+0	80.347697E+0
79	19.696535E+0	-1.366922E+0	897.404160E+0	80.347697E+0
80	18.955713E+0	-1.366922E+0	897.404160E+0	80.347697E+0
81	18.150804E+0	-3.330777E+0	850.573775E+0	80.260428E+0
82	17.299932E+0	-3.330777E+0	850.573775E+0	80.260428E+0
83	16.422126E+0	-3.330777E+0	850.573775E+0	80.260428E+0
84	15.536856E+0	-3.330777E+0	850.573775E+0	80.260428E+0
85	14.663553E+0	-5.117359E+0	807.970674E+0	80.840951E+0
86	13.821133E+0	-5.117359E+0	807.970674E+0	80.840951E+0
87	13.027529E+0	-5.117359E+0	807.970674E+0	80.840951E+0
88	12.299255E+0	-6.926831E+0	764.821722E+0	75.481132E+0
89	11.650996E+0	-6.926831E+0	764.821722E+0	75.481132E+0
90	11.095254E+0	-6.926831E+0	764.821722E+0	75.481132E+0
91	10.642039E+0	-6.926831E+0	764.821722E+0	75.481132E+0
92	10.298625E+0	-6.926831E+0	764.821722E+0	75.481132E+0
93	10.069378E+0	-8.750100E+0	721.343781E+0	76.864838E+0
94	9.955649E+0	-8.750100E+0	721.343781E+0	76.864838E+0
95	9.955743E+0	-8.750100E+0	721.343781E+0	76.864838E+0
96	10.064972E+0	-8.750100E+0	721.343781E+0	76.864838E+0
97	10.275768E+0	-10.473857E+0	680.238799E+0	78.015473E+0
98	10.577880E+0	-10.473857E+0	680.238799E+0	78.015473E+0
99	10.958631E+0	-10.473857E+0	680.238799E+0	78.015473E+0
100	11.403233E+0	-10.473857E+0	680.238799E+0	78.015473E+0
101	11.895164E+0	-12.055251E+0	642.528626E+0	80.143685E+0
102	12.416576E+0	-12.055251E+0	642.528626E+0	80.143685E+0
103	12.948743E+0	-12.055251E+0	642.528626E+0	80.143685E+0
104	13.472533E+0	-12.055251E+0	642.528626E+0	80.143685E+0
105	13.968881E+0	-13.267571E+0	613.619471E+0	80.994984E+0
106	14.419271E+0	-13.267571E+0	613.619471E+0	80.994984E+0
107	14.806194E+0	-13.267571E+0	613.619471E+0	80.994984E+0
108	15.113595E+0	-14.380610E+0	587.077755E+0	77.940649E+0
109	15.327268E+0	-14.380610E+0	587.077755E+0	77.940649E+0
110	15.435218E+0	-14.380610E+0	587.077755E+0	77.940649E+0
111	15.427963E+0	-14.380610E+0	587.077755E+0	77.940649E+0
112	15.298774E+0	-14.380610E+0	587.077755E+0	77.940649E+0
113	15.043851E+0	-15.632276E+0	557.230332E+0	75.075716E+0
114	14.662420E+0	-15.632276E+0	557.230332E+0	75.075716E+0
115	14.156761E+0	-15.632276E+0	557.230332E+0	75.075716E+0
116	13.532159E+0	-15.632276E+0	557.230332E+0	75.075716E+0
117	12.796782E+0	-17.063948E+0	523.090481E+0	74.666588E+0
118	11.961481E+0	-17.063948E+0	523.090481E+0	74.666588E+0
119	11.039536E+0	-17.063948E+0	523.090481E+0	74.666588E+0
120	10.046331E+0	-17.063948E+0	523.090481E+0	74.666588E+0
121	8.998982E+0	-18.628352E+0	485.785442E+0	76.871978E+0
122	7.915921E+0	-18.628352E+0	485.785442E+0	76.871978E+0
123	6.816450E+0	-18.628352E+0	485.785442E+0	76.871978E+0
124	5.720270E+0	-20.207884E+0	448.119698E+0	76.310435E+0
125	4.647001E+0	-20.207884E+0	448.119698E+0	76.310435E+0
126	3.615708E+0	-20.207884E+0	448.119698E+0	76.310435E+0
127	2.644432E+0	-20.207884E+0	448.119698E+0	76.310435E+0
128	1.749756E+0	-20.207884E+0	448.119698E+0	76.310435E+0
129	946.401390E-3	-21.712975E+0	412.229065E+0	79.049987E+0
130	246.871260E-3	-21.712975E+0	412.229065E+0	79.049987E+0
131	-338.851120E-3	-21.712975E+0	412.229065E+0	79.049987E+0
132	-803.541610E-3	-21.712975E+0	412.229065E+0	79.049987E+0
133	-1.142907E+0	-22.724991E+0	388.096376E+0	80.537394E+0
134	-1.355681E+0	-22.724991E+0	388.096376E+0	80.537394E+0
135	-1.443656E+0	-22.724991E+0	388.096376E+0	80.537394E+0
136	-1.411622E+0	-22.724991E+0	388.096376E+0	80.537394E+0
137	-1.267248E+0	-23.020808E+0	381.042278E+0	80.915949E+0
138	-1.020883E+0	-23.020808E+0	381.042278E+0	80.915949E+0
139	-685.297170E-3	-23.020808E+0	381.042278E+0	80.915949E+0
140	-275.353770E-3	-23.020808E+0	381.042278E+0	80.915949E+0
141	192.359610E-3	-22.516954E+0	393.057261E+0	78.649123E+0
142	699.949220E-3	-22.516954E+0	393.057261E+0	78.649123E+0
143	1.228663E+0	-22.516954E+0	393.057261E+0	78.649123E+0
144	1.759361E+0	-22.516954E+0	393.057261E+0	78.649123E+0
145	2.272992E+0	-21.377023E+0	420.240209E+0	78.786138E+0
146	2.751074E+0	-21.377023E+0	420.240209E+0	78.786138E+0
147	3.176151E+0	-21.377023E+0	420.240209E+0	78.786138E+0
148	3.532234E+0	-21.377023E+0	420.240209E+0	78.786138E+0
149	3.805203E+0	-19.947732E+0	454.323325E+0	75.728081E+0
150	3.983154E+0	-19.947732E+0	454.323325E+0	75.728081E+0
151	4.056707E+0	-19.947732E+0	454.323325E+0	75.728081E+0
152	4.019234E+0	-19.947732E+0	454.323325E+0	75.728081E+0
