mercredi 25 mars 2020	17:52:18	Sampling Period : 50  ms		CL

t	Alpha [deg]	Position [cm]	X [pixel]	Y [pixel]	  	  	  	  
1845	-710.603408E-3	-19.011057E+0	476.659409E+0	79.731208E+0
1846	6.059997E+0	-19.011057E+0	476.659409E+0	79.731208E+0
1847	5.673230E+0	-19.011057E+0	476.659409E+0	79.731208E+0
1848	5.051141E+0	-16.372092E+0	539.588582E+0	82.416539E+0
1849	8.418319E+0	-16.372092E+0	539.588582E+0	82.416539E+0
1850	8.418319E+0	-16.372092E+0	539.588582E+0	82.416539E+0
1851	7.151071E+0	-16.372092E+0	539.588582E+0	82.416539E+0
1852	5.690835E+0	-14.444307E+0	585.558844E+0	80.647849E+0
1853	4.061848E+0	-14.444307E+0	585.558844E+0	80.647849E+0
1854	6.167684E+0	-14.444307E+0	585.558844E+0	80.647849E+0
1855	4.310425E+0	-14.444307E+0	585.558844E+0	80.647849E+0
1856	2.381137E+0	-13.014099E+0	619.663791E+0	79.307453E+0
1857	417.429934E-3	-13.014099E+0	619.663791E+0	79.307453E+0
1858	1.332838E+0	-13.014099E+0	619.663791E+0	79.307453E+0
1859	-568.706415E-3	-13.014099E+0	619.663791E+0	79.307453E+0
1860	-2.388422E+0	-12.352546E+0	635.439298E+0	80.823365E+0
1861	-4.089596E+0	-12.352546E+0	635.439298E+0	80.823365E+0
1862	-4.308324E+0	-12.352546E+0	635.439298E+0	80.823365E+0
1863	-5.666641E+0	-11.782536E+0	649.031834E+0	75.935280E+0
1864	-6.814784E+0	-11.782536E+0	649.031834E+0	75.935280E+0
1865	-6.585159E+0	-11.782536E+0	649.031834E+0	75.935280E+0
1866	-7.246950E+0	-11.782536E+0	649.031834E+0	75.935280E+0
1867	-7.649319E+0	-11.782536E+0	649.031834E+0	75.935280E+0
1868	-7.787425E+0	-10.970890E+0	668.386464E+0	77.093919E+0
1869	-7.662555E+0	-10.970890E+0	668.386464E+0	77.093919E+0
1870	-5.650625E+0	-10.970890E+0	668.386464E+0	77.093919E+0
1871	-5.019593E+0	-10.970890E+0	668.386464E+0	77.093919E+0
1872	-4.164962E+0	-9.440260E+0	704.886119E+0	77.744949E+0
1873	-3.110630E+0	-9.440260E+0	704.886119E+0	77.744949E+0
1874	1.191556E+0	-9.440260E+0	704.886119E+0	77.744949E+0
1875	2.571548E+0	-9.440260E+0	704.886119E+0	77.744949E+0
1876	4.055370E+0	-9.440260E+0	704.886119E+0	77.744949E+0
1877	5.605638E+0	-7.472428E+0	751.811339E+0	80.740353E+0
1878	7.183737E+0	-7.472428E+0	751.811339E+0	80.740353E+0
1879	12.706114E+0	-7.472428E+0	751.811339E+0	80.740353E+0
1880	14.243546E+0	-5.975055E+0	787.517926E+0	82.718815E+0
1881	15.695101E+0	-5.975055E+0	787.517926E+0	82.718815E+0
1882	20.036402E+0	-5.975055E+0	787.517926E+0	82.718815E+0
1883	22.250766E+0	-4.733850E+0	817.115884E+0	84.678865E+0
1884	22.250766E+0	-4.733850E+0	817.115884E+0	84.678865E+0
1885	23.070064E+0	-4.733850E+0	817.115884E+0	84.678865E+0
1886	26.168386E+0	-4.733850E+0	817.115884E+0	84.678865E+0
1887	26.557606E+0	-4.733850E+0	817.115884E+0	84.678865E+0
1888	26.715200E+0	-4.222573E+0	829.307878E+0	78.954020E+0
1889	26.642275E+0	-4.222573E+0	829.307878E+0	78.954020E+0
1890	27.373693E+0	-4.222573E+0	829.307878E+0	78.954020E+0
1891	26.872250E+0	-4.222573E+0	829.307878E+0	78.954020E+0
1892	26.179030E+0	-4.912733E+0	812.850224E+0	82.557760E+0
1893	25.317636E+0	-4.912733E+0	812.850224E+0	82.557760E+0
1894	22.928921E+0	-4.912733E+0	812.850224E+0	82.557760E+0
1895	21.812260E+0	-4.912733E+0	812.850224E+0	82.557760E+0
1896	20.622139E+0	-6.453175E+0	776.116602E+0	80.800257E+0
1897	19.395472E+0	-6.453175E+0	776.116602E+0	80.800257E+0
1898	15.074071E+0	-6.453175E+0	776.116602E+0	80.800257E+0
1899	12.750327E+0	-6.453175E+0	776.116602E+0	80.800257E+0
1900	12.750327E+0	-8.914036E+0	717.434532E+0	81.662894E+0
1901	11.740675E+0	-8.914036E+0	717.434532E+0	81.662894E+0
1902	5.931563E+0	-8.914036E+0	717.434532E+0	81.662894E+0
1903	5.221059E+0	-8.914036E+0	717.434532E+0	81.662894E+0
1904	4.713315E+0	-11.261313E+0	661.460987E+0	80.019507E+0
1905	4.429411E+0	-11.261313E+0	661.460987E+0	80.019507E+0
1906	-151.061320E-3	-11.261313E+0	661.460987E+0	80.019507E+0
1907	-151.061320E-3	-11.261313E+0	661.460987E+0	80.019507E+0
1908	284.481767E-3	-12.973959E+0	620.620974E+0	78.099298E+0
1909	971.662607E-3	-12.973959E+0	620.620974E+0	78.099298E+0
1910	-1.540039E+0	-12.973959E+0	620.620974E+0	78.099298E+0
1911	-396.907782E-3	-12.973959E+0	620.620974E+0	78.099298E+0
1912	956.252043E-3	-14.033579E+0	595.353111E+0	80.110227E+0
1913	2.494834E+0	-14.033579E+0	595.353111E+0	80.110227E+0
1914	2.059920E+0	-14.033579E+0	595.353111E+0	80.110227E+0
