mercredi 25 mars 2020	16:15:05	Sampling Period : 50  ms		OL alpha

t	Alpha [deg]	Position [cm]	X [pixel]	Y [pixel]	  	  	  	  
0	0.000000E+0	4.336689E+0	1.033413E+3	81.291981E+0
1	0.000000E+0	4.336689E+0	1.033413E+3	81.291981E+0
2	0.000000E+0	4.336689E+0	1.033413E+3	81.291981E+0
3	0.000000E+0	4.337599E+0	1.033435E+3	81.146638E+0
4	0.000000E+0	4.337599E+0	1.033435E+3	81.146638E+0
5	0.000000E+0	4.337599E+0	1.033435E+3	81.146638E+0
6	0.000000E+0	4.337599E+0	1.033435E+3	81.146638E+0
7	0.000000E+0	4.336596E+0	1.033411E+3	81.296739E+0
8	0.000000E+0	4.336596E+0	1.033411E+3	81.296739E+0
9	0.000000E+0	4.336596E+0	1.033411E+3	81.296739E+0
10	0.000000E+0	4.336596E+0	1.033411E+3	81.296739E+0
11	0.000000E+0	4.339767E+0	1.033487E+3	81.220000E+0
12	7.000000E+0	4.339767E+0	1.033487E+3	81.220000E+0
13	10.586461E+0	4.339767E+0	1.033487E+3	81.220000E+0
14	13.981753E+0	4.339767E+0	1.033487E+3	81.220000E+0
15	17.010592E+0	4.341429E+0	1.033526E+3	81.557728E+0
16	19.527969E+0	4.341429E+0	1.033526E+3	81.557728E+0
17	21.430718E+0	4.341429E+0	1.033526E+3	81.557728E+0
18	22.665161E+0	4.341429E+0	1.033526E+3	81.557728E+0
19	23.230175E+0	4.243854E+0	1.031200E+3	81.545928E+0
20	23.175399E+0	4.243854E+0	1.031200E+3	81.545928E+0
21	22.594835E+0	4.243854E+0	1.031200E+3	81.545928E+0
22	21.616478E+0	4.243854E+0	1.031200E+3	81.545928E+0
23	20.389047E+0	3.702406E+0	1.018288E+3	79.678278E+0
24	19.067112E+0	3.702406E+0	1.018288E+3	79.678278E+0
25	17.796111E+0	3.702406E+0	1.018288E+3	79.678278E+0
26	16.698690E+0	3.702406E+0	1.018288E+3	79.678278E+0
27	15.863723E+0	2.562464E+0	991.104907E+0	81.409717E+0
28	15.339040E+0	2.562464E+0	991.104907E+0	81.409717E+0
29	15.128548E+0	2.562464E+0	991.104907E+0	81.409717E+0
30	15.193990E+0	2.562464E+0	991.104907E+0	81.409717E+0
31	15.461100E+0	657.269032E-3	945.673338E+0	78.524249E+0
32	15.829502E+0	657.269032E-3	945.673338E+0	78.524249E+0
33	16.185307E+0	657.269032E-3	945.673338E+0	78.524249E+0
34	16.415106E+0	657.269032E-3	945.673338E+0	78.524249E+0
35	16.419923E+0	657.269032E-3	945.673338E+0	78.524249E+0
36	16.127663E+0	-1.236740E+0	900.508499E+0	79.199126E+0
37	15.502797E+0	-1.236740E+0	900.508499E+0	79.199126E+0
38	14.552236E+0	-1.236740E+0	900.508499E+0	79.199126E+0
39	13.326779E+0	-2.960369E+0	859.406583E+0	76.568671E+0
40	11.917937E+0	-2.960369E+0	859.406583E+0	76.568671E+0
41	10.450383E+0	-2.960369E+0	859.406583E+0	76.568671E+0
42	9.070754E+0	-2.960369E+0	859.406583E+0	76.568671E+0
43	7.933868E+0	-4.557527E+0	821.320516E+0	77.049776E+0
44	7.187693E+0	-4.557527E+0	821.320516E+0	77.049776E+0
45	6.958539E+0	-4.557527E+0	821.320516E+0	77.049776E+0
46	7.337946E+0	-4.557527E+0	821.320516E+0	77.049776E+0
47	8.372548E+0	-6.128870E+0	783.850013E+0	76.549780E+0
48	10.057960E+0	-6.128870E+0	783.850013E+0	76.549780E+0
49	12.337318E+0	-6.128870E+0	783.850013E+0	76.549780E+0
50	15.104650E+0	-6.128870E+0	783.850013E+0	76.549780E+0
51	18.212822E+0	-7.514887E+0	750.798840E+0	75.393620E+0
52	21.485320E+0	-7.514887E+0	750.798840E+0	75.393620E+0
53	24.730791E+0	-7.514887E+0	750.798840E+0	75.393620E+0
54	27.758969E+0	-7.514887E+0	750.798840E+0	75.393620E+0
55	30.396510E+0	-8.725331E+0	721.934409E+0	76.641558E+0
56	32.501232E+0	-8.725331E+0	721.934409E+0	76.641558E+0
57	33.973446E+0	-8.725331E+0	721.934409E+0	76.641558E+0
58	34.763322E+0	-8.725331E+0	721.934409E+0	76.641558E+0
59	34.873624E+0	-10.153257E+0	687.883864E+0	78.885227E+0
60	34.357604E+0	-10.153257E+0	687.883864E+0	78.885227E+0
61	33.312310E+0	-10.153257E+0	687.883864E+0	78.885227E+0
62	31.867986E+0	-10.153257E+0	687.883864E+0	78.885227E+0
63	30.174652E+0	-12.417349E+0	633.893990E+0	77.280288E+0
64	28.387181E+0	-12.417349E+0	633.893990E+0	77.280288E+0
65	26.650351E+0	-12.417349E+0	633.893990E+0	77.280288E+0
66	25.085334E+0	-12.417349E+0	633.893990E+0	77.280288E+0
67	23.778925E+0	-15.100275E+0	569.916521E+0	75.898829E+0
68	22.776549E+0	-15.100275E+0	569.916521E+0	75.898829E+0
69	22.079692E+0	-15.100275E+0	569.916521E+0	75.898829E+0
70	21.647961E+0	-15.100275E+0	569.916521E+0	75.898829E+0
71	21.405514E+0	-17.949043E+0	501.984371E+0	75.677984E+0
72	21.251171E+0	-17.949043E+0	501.984371E+0	75.677984E+0
73	21.071154E+0	-17.949043E+0	501.984371E+0	75.677984E+0
74	20.753119E+0	-17.949043E+0	501.984371E+0	75.677984E+0
75	20.200046E+0	-20.682963E+0	436.790885E+0	81.660677E+0
76	19.342552E+0	-20.682963E+0	436.790885E+0	81.660677E+0
77	18.148336E+0	-20.682963E+0	436.790885E+0	81.660677E+0
78	16.627784E+0	-20.682963E+0	436.790885E+0	81.660677E+0
79	14.835104E+0	-20.682963E+0	436.790885E+0	81.660677E+0
80	12.864843E+0	-22.978118E+0	382.060251E+0	81.941748E+0
81	10.844069E+0	-22.978118E+0	382.060251E+0	81.941748E+0
82	8.920965E+0	-22.978118E+0	382.060251E+0	81.941748E+0
83	7.250913E+0	-25.452137E+0	323.064419E+0	76.126430E+0
84	5.981437E+0	-25.452137E+0	323.064419E+0	76.126430E+0
85	5.237461E+0	-25.452137E+0	323.064419E+0	76.126430E+0
86	5.108351E+0	-25.452137E+0	323.064419E+0	76.126430E+0
87	5.638029E+0	-25.452137E+0	323.064419E+0	76.126430E+0
88	6.819146E+0	-27.997845E+0	262.359091E+0	78.043357E+0
89	8.591948E+0	-27.997845E+0	262.359091E+0	78.043357E+0
90	10.847961E+0	-27.997845E+0	262.359091E+0	78.043357E+0
91	13.438224E+0	-29.943479E+0	215.963200E+0	80.174800E+0
92	16.185286E+0	-29.943479E+0	215.963200E+0	80.174800E+0
93	18.897888E+0	-29.943479E+0	215.963200E+0	80.174800E+0
94	21.386930E+0	-29.943479E+0	215.963200E+0	80.174800E+0
95	23.481240E+0	-29.943479E+0	215.963200E+0	80.174800E+0
96	25.041663E+0	-31.025968E+0	190.150000E+0	79.089151E+0
97	25.972153E+0	-31.025968E+0	190.150000E+0	79.089151E+0
98	26.226847E+0	-31.025968E+0	190.150000E+0	79.089151E+0
99	25.812476E+0	-31.025968E+0	190.150000E+0	79.089151E+0
100	24.785946E+0	-31.359235E+0	182.202859E+0	82.654187E+0
101	23.247352E+0	-31.359235E+0	182.202859E+0	82.654187E+0
102	21.329155E+0	-31.359235E+0	182.202859E+0	82.654187E+0
103	19.182620E+0	-31.359235E+0	182.202859E+0	82.654187E+0
104	16.962842E+0	-32.437097E+0	156.500000E+0	83.032520E+0
105	14.813849E+0	-32.437097E+0	156.500000E+0	83.032520E+0
106	12.855234E+0	-32.437097E+0	156.500000E+0	83.032520E+0
107	11.171610E+0	-32.437097E+0	156.500000E+0	83.032520E+0
108	9.805895E+0	-35.052181E+0	94.140288E+0	79.235612E+0
109	8.757049E+0	-35.052181E+0	94.140288E+0	79.235612E+0
110	7.982437E+0	-35.052181E+0	94.140288E+0	79.235612E+0
111	7.404532E+0	-35.052181E+0	94.140288E+0	79.235612E+0
112	6.921239E+0	-36.298236E+0	64.426692E+0	77.411654E+0
113	6.418759E+0	-36.298236E+0	64.426692E+0	77.411654E+0
114	5.785662E+0	-36.298236E+0	64.426692E+0	77.411654E+0
115	4.926711E+0	-36.497160E+0	59.683099E+0	74.836620E+0
116	3.775024E+0	-36.497160E+0	59.683099E+0	74.836620E+0
117	2.301288E+0	-36.497160E+0	59.683099E+0	74.836620E+0
118	519.081910E-3	-36.497160E+0	59.683099E+0	74.836620E+0
119	-1.514300E+0	-36.497160E+0	59.683099E+0	74.836620E+0
120	-3.701632E+0	-37.209164E+0	42.704545E+0	71.237013E+0
121	-5.913841E+0	-37.209164E+0	42.704545E+0	71.237013E+0
122	-8.001620E+0	-37.209164E+0	42.704545E+0	71.237013E+0
123	-9.809462E+0	-37.209164E+0	42.704545E+0	71.237013E+0
124	-11.190746E+0	-37.739208E+0	30.065041E+0	68.169106E+0
125	-12.022401E+0	-37.739208E+0	30.065041E+0	68.169106E+0
126	-12.217698E+0	-37.739208E+0	30.065041E+0	68.169106E+0
127	-11.735894E+0	-37.739208E+0	30.065041E+0	68.169106E+0
128	-10.587756E+0	-37.907851E+0	26.043541E+0	67.265602E+0
129	-8.836382E+0	-37.907851E+0	26.043541E+0	67.265602E+0
130	-6.593190E+0	-37.907851E+0	26.043541E+0	67.265602E+0
131	-4.009411E+0	-37.907851E+0	26.043541E+0	67.265602E+0
132	-1.263871E+0	-36.573294E+0	57.867609E+0	74.394602E+0
133	1.451816E+0	-36.573294E+0	57.867609E+0	74.394602E+0
134	3.949254E+0	-36.573294E+0	57.867609E+0	74.394602E+0
135	6.058963E+0	-34.334285E+0	111.259368E+0	80.955915E+0
136	7.644311E+0	-34.334285E+0	111.259368E+0	80.955915E+0
137	8.612364E+0	-34.334285E+0	111.259368E+0	80.955915E+0
138	8.920660E+0	-34.334285E+0	111.259368E+0	80.955915E+0
139	8.579308E+0	-34.334285E+0	111.259368E+0	80.955915E+0
140	7.648242E+0	-31.528235E+0	178.172863E+0	82.164172E+0
141	6.229954E+0	-31.528235E+0	178.172863E+0	82.164172E+0
142	4.458460E+0	-31.528235E+0	178.172863E+0	82.164172E+0
143	2.485585E+0	-31.528235E+0	178.172863E+0	82.164172E+0
144	465.958710E-3	-29.695545E+0	221.875467E+0	81.475716E+0
145	-1.457826E+0	-29.695545E+0	221.875467E+0	81.475716E+0
146	-3.168431E+0	-29.695545E+0	221.875467E+0	81.475716E+0
147	-4.584091E+0	-29.695545E+0	221.875467E+0	81.475716E+0
148	-5.665044E+0	-29.018825E+0	238.012628E+0	76.657853E+0
149	-6.415489E+0	-29.018825E+0	238.012628E+0	76.657853E+0
150	-6.880915E+0	-29.018825E+0	238.012628E+0	76.657853E+0
